UPC,Item #,Qty,Unit Retail,Seller Category,Category,Item Description,Condition,Packaging,Manufacturer,Image URL
43156719815,5005671,12,44.99,HARDWARE,BUILDING_AND_HARDWARE,SINGLE DEAD BOLT MB,NEW,Mixed,INGERSOLL RAND (SCHLAGE/FALCON),https://images.aceservices.com/50/05/5005671_A.eps_High.jpg
5.05659E+12,8085309,1,1999.99,OUTDOOR LIVING AND FURNITURE,OUTDOOR_LIVING_AND_GARDEN,"OUTDOOR PIZZA OVEN 22""",NEW,Mixed,GOZNEY GROUP LTD,https://images.aceservices.com/80/85/8085309_A.eps_High.jpg
75352348414,DWAF35SETBTG,55,25.99,,MIXED_LOTS,Dewalt drill bit set,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
2.00432E+13,5427125,2,129.99,HARDWARE,BUILDING_AND_HARDWARE,AGED BRZ KEYPAD DEADBOLT,NEW,Mixed,INGERSOLL RAND (SCHLAGE/FALCON),https://images.aceservices.com/54/27/5427125_A.eps_High.jpg
1.004E+13,40395,25,9.99,PLUMBING SUPPLIES AND FIXTURES,PLUMBING,"BALLCOCK ADJ 9-14""",NEW,Mixed,FLUIDMASTER INC,https://images.aceservices.com/40/39/40395_A.eps_High.jpg
2.00432E+13,5404603,4,28.99,HARDWARE,BUILDING_AND_HARDWARE,PRIVACY GEORGIAN AGE BRZ,NEW,Mixed,INGERSOLL RAND (SCHLAGE/FALCON),https://images.aceservices.com/54/04/5404603_A.eps_High.jpg
8.50018E+11,6086304,2,29.99,,MIXED_LOTS,Pocket vac,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
8.11738E+11,8103632,1,999.99,,MIXED_LOTS,Kamado Joe smoker,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
8.85912E+11,2053185,18,62.99,,MIXED_LOTS,Craftsman10pc wrench set,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
8.49489E+11,3011949,8,59.99,,MIXED_LOTS,Bulkhead light,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
1.07355E+13,6009768,16,29.99,HOUSEWARES AND GIFTS,HOUSEHOLD_ESSENTIALS,GARAGE LIGHT BLK/WHT,NEW,Mixed,ONTEL PRODUCTS CORP,https://images.aceservices.com/60/09/6009768_A.eps_High.jpg
7.17604E+11,8093915,1,399.99,,MIXED_LOTS,"28"" Blackstone",NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
24034610738,3825619,6,35.99,FLASHLIGHTS - LIGHTING AND SUPPLIES,LIGHTING,"LED FLUSH BN 11"" 20W",NEW,Mixed,WESTINGHOUSE LIGHTING CO,https://images.aceservices.com/38/25/3825619_A.eps_High.jpg
50904001108,8109761,1,119.99,OUTDOOR LIVING AND FURNITURE,OUTDOOR_LIVING_AND_GARDEN,COOKER GAS HI/LO OUTDOOR,NEW,Mixed,BARBOUR INTERNATIONAL INC,https://images.aceservices.com/81/09/8109761_A.eps_High.jpg
1.00178E+13,3002314,2,56.99,FLASHLIGHTS - LIGHTING AND SUPPLIES,LIGHTING,FLOODLIGHT ALUM WHT 28W,NEW,Mixed,FEIT ELECTRIC CO,https://images.aceservices.com/30/02/3002314_A.eps_High.jpg
1.08417E+13,7006230,3,199.99,LAWN - GARDEN - FARM SUPPLIES,MIXED_HOME_AND_GARDEN,BACKPK SPRYR BO 4G ORTHO,NEW,Mixed,FOUNTAINHEAD GROUP THE,https://images.aceservices.com/70/06/7006230_A.eps_High.jpg
43156791712,5623715,16,32.99,HARDWARE,BUILDING_AND_HARDWARE,LOCK PRIVACY FLAIR AB,NEW,Mixed,INGERSOLL RAND (SCHLAGE/FALCON),https://images.aceservices.com/56/23/5623715_A.eps_High.jpg
3.085E+11,1037661,6,84.26,,MIXED_LOTS,paint cleaning clothes,NEW,Mixed,,https://images.aceservices.com/ER/RO/ERROR_A.eps_High.jpg
7.85901E+11,3552437,1,269.99,ELECTRICAL SUPPLIES,MIXED_BUILDING_AND_INDUSTRIAL,CSED 30SP200A PON LD CTR,NEW,Mixed,SCHNEIDER ELECTRIC USA INC,https://images.aceservices.com/35/52/3552437_A.eps_High.jpg
