Product Class,GL Description,Category,Subcategory,ASIN,Item Description,Qty,Unit Retail,Ext. Retail,EAN,LPN,UPC,Brand,Color,Model
Consumer Electronics,Wireless,Wireless,Wireless,B0D5CS43W4,"CASEKOO Patented 360° Spin Stand [Stand at Any Angle] for iPhone 15 Pro Max Case [Compatible with MagSafe] [Military Drop Protection] Shockproof Slim Translucent Matte Case 6.7 Inch 2023, Blue",50,39.99,1999.5,,,,CASEKOO,Blue,iPhone 15 Pro Max Case
Consumer Electronics,Wireless,Wireless,Wireless,B0D5CS43W4,"CASEKOO Patented 360° Spin Stand [Stand at Any Angle] for iPhone 15 Pro Max Case [Compatible with MagSafe] [Military Drop Protection] Shockproof Slim Translucent Matte Case 6.7 Inch 2023, Blue",50,39.99,1999.5,,,,CASEKOO,Blue,iPhone 15 Pro Max Case
Consumer Electronics,Wireless,Wireless,Wireless,B0D5CS43W4,"CASEKOO Patented 360° Spin Stand [Stand at Any Angle] for iPhone 15 Pro Max Case [Compatible with MagSafe] [Military Drop Protection] Shockproof Slim Translucent Matte Case 6.7 Inch 2023, Blue",50,39.99,1999.5,,,,CASEKOO,Blue,iPhone 15 Pro Max Case
Consumer Electronics,Wireless,Wireless,Wireless,B0D3LH91R2,FNTCASE for iPhone 14 Pro-Max Case: Magnetic Slim Matte Protective Case with Kickstand | Shockproof Drop Full Protection Anti-Fingerprint Thin Translucent Frosted Phone Cover(Black),50,19.99,999.4999999999999,,,,FNTCASE,Black,iPhone 14 Pro-Max Case
Consumer Electronics,Wireless,Wireless,Wireless,B0D3LH91R2,FNTCASE for iPhone 14 Pro-Max Case: Magnetic Slim Matte Protective Case with Kickstand | Shockproof Drop Full Protection Anti-Fingerprint Thin Translucent Frosted Phone Cover(Black),50,19.99,999.4999999999999,,,,FNTCASE,Black,iPhone 14 Pro-Max Case
Consumer Electronics,Wireless,Wireless,Wireless,B0D3LH91R2,FNTCASE for iPhone 14 Pro-Max Case: Magnetic Slim Matte Protective Case with Kickstand | Shockproof Drop Full Protection Anti-Fingerprint Thin Translucent Frosted Phone Cover(Black),50,19.99,999.4999999999999,,,,FNTCASE,Black,iPhone 14 Pro-Max Case
Consumer Electronics,Wireless,Wireless,Wireless,B0D3LH91R2,FNTCASE for iPhone 14 Pro-Max Case: Magnetic Slim Matte Protective Case with Kickstand | Shockproof Drop Full Protection Anti-Fingerprint Thin Translucent Frosted Phone Cover(Black),45,19.99,899.55,,,,FNTCASE,Black,iPhone 14 Pro-Max Case
Consumer Electronics,Wireless,Wireless Cases,Waterproof Cases,B0CXHMZDYZ,"Goodon for iPhone 11 Case with Sliding Camera Cover + Screen Protector - Metal Magnetic Kickstand - Military-Grade Shockproof Matte Protective Phone Cover 6.1"" for Men Women Girls - Black",50,16.99,849.4999999999999,,,,Goodon,Black- with Back Kickstand,iPhone 11
Consumer Electronics,Wireless,Wireless Cases,Waterproof Cases,B0CXHMZDYZ,"Goodon for iPhone 11 Case with Sliding Camera Cover + Screen Protector - Metal Magnetic Kickstand - Military-Grade Shockproof Matte Protective Phone Cover 6.1"" for Men Women Girls - Black",50,16.99,849.4999999999999,,,,Goodon,Black- with Back Kickstand,iPhone 11
Consumer Electronics,Wireless,Wireless Cases,Waterproof Cases,B0CXHMZDYZ,"Goodon for iPhone 11 Case with Sliding Camera Cover + Screen Protector - Metal Magnetic Kickstand - Military-Grade Shockproof Matte Protective Phone Cover 6.1"" for Men Women Girls - Black",50,16.99,849.4999999999999,,,,Goodon,Black- with Back Kickstand,iPhone 11
Consumer Electronics,PC,Inputs,Keyboards,B0BY1LT1G5,"Wireless Keyboard and Mouse Combo, 2.4G Full-Sized Ergonomic Keyboard Mouse, 3 DPI Adjustable Cordless USB Keyboard and Mouse,for PC/Computer/Laptop/Windows/Mac(Blue)",10,59.99,599.9,6.97401E+12,,,LETTON,Multi-Blue,v2020
Consumer Electronics,PC,Inputs,Keyboards,B0BY1LT1G5,"Wireless Keyboard and Mouse Combo, 2.4G Full-Sized Ergonomic Keyboard Mouse, 3 DPI Adjustable Cordless USB Keyboard and Mouse,for PC/Computer/Laptop/Windows/Mac(Blue)",10,59.99,599.9,6.97401E+12,,,LETTON,Multi-Blue,v2020
Consumer Electronics,Wireless,Wearables,Smartwatches,B09JW8YYZM,"Maledan 8 Pack Band Compatible with Samsung Galaxy Watch 7 6 5 4 Band 40mm 44mm,Galaxy Watch 5 Pro 45mm/6 4 Classic 42mm 46mm 43mm 47mm/Active 2, 20mm Soft Silicone Sport Strap Women Men, Small",50,10.43,521.5,,,,Maledan,Black/Plum/Gray/Fuchsia/Teal/Rose/Pine Green/Slate Blue,
Consumer Electronics,Wireless,Wearables,Smartwatches,B09JW8YYZM,"Maledan 8 Pack Band Compatible with Samsung Galaxy Watch 7 6 5 4 Band 40mm 44mm,Galaxy Watch 5 Pro 45mm/6 4 Classic 42mm 46mm 43mm 47mm/Active 2, 20mm Soft Silicone Sport Strap Women Men, Small",50,10.43,521.5,,,,Maledan,Black/Plum/Gray/Fuchsia/Teal/Rose/Pine Green/Slate Blue,
Consumer Electronics,Wireless,Wireless,Wireless,B0DLW9YCJJ,"HitTopss Smart Ring, Fitness Sleep Health Tracker Rings for Men Women, No APP Subscription, Sleep Tracking, Heart Rate, Blood Oxygen, IP68 Waterproof (Black, 10#)",5,99.99,499.95,,,,HitTopss,Black,Smart Ring
Consumer Electronics,Camera,Camera,Camera,B0DSDKKPLD,"Security Cameras Wireless Outdoor, 2K HD Battery Powered Cameras for Home Security Outside EseeCloud, 2.4G WiFi Surveillance Indoor AI Motion Detection Spotlight Night Vision 2-Way Talk Waterproof",10,49.98,499.79999999999995,,,,Noaheye,,outdoor camera
Consumer Electronics,Camera,Camera,Camera,B0DSDKKPLD,"Security Cameras Wireless Outdoor, 2K HD Battery Powered Cameras for Home Security Outside EseeCloud, 2.4G WiFi Surveillance Indoor AI Motion Detection Spotlight Night Vision 2-Way Talk Waterproof",10,49.98,499.79999999999995,,,,Noaheye,,outdoor camera
Consumer Electronics,Camera,Camera,Camera,B0DSDKKPLD,"Security Cameras Wireless Outdoor, 2K HD Battery Powered Cameras for Home Security Outside EseeCloud, 2.4G WiFi Surveillance Indoor AI Motion Detection Spotlight Night Vision 2-Way Talk Waterproof",10,49.98,499.79999999999995,,,,Noaheye,,outdoor camera
Consumer Electronics,Camera,Camera,Camera,B0DSDKKPLD,"Security Cameras Wireless Outdoor, 2K HD Battery Powered Cameras for Home Security Outside EseeCloud, 2.4G WiFi Surveillance Indoor AI Motion Detection Spotlight Night Vision 2-Way Talk Waterproof",10,49.98,499.79999999999995,,,,Noaheye,,outdoor camera
Consumer Electronics,Wireless,Wireless,Wireless,B0DJS84VW6,"HitTopss Smart Ring, Fitness Sleep Health Tracker Rings for Men Women, No APP Subscription, Sleep Tracking, Heart Rate, Blood Oxygen, IP68 Waterproof (Silver, 9#)",4,99.99,399.96,,,,HitTopss,Silver,
Consumer Electronics,Wireless,Wireless,Wireless,B0B95WRRBQ,"Nillkin Carbon Fiber Case for iPhone 14 Pro Case with Creative Torsion Spring Camera Cover, Durable Aramid Fiber Shockproof Bumper with Heavy Drop Protection for iPhone 14 Pro Cases 6.1'' Black",10,39.99,399.90000000000003,6.90205E+12,,,Nillkin,14P-Black,
Consumer Electronics,Wireless,Wireless Accessories,Travel/Wall Chargers,B0D7W6HHPQ,"3 in 1 Wireless Charging Station for Apple Dvices,15W Fast Magnetic Charger, Foldable Travel Mag-Safe Charger Stand for iPhone 16/15/14/13/12 Pro Max Plus, iWatch S10/Ultra - S2, AirPods 4/Pro/3/2",10,39.99,399.90000000000003,,,,SUNGUY,Black,
Consumer Electronics,Wireless,Wireless Accessories,Travel/Wall Chargers,B0D7W6HHPQ,"3 in 1 Wireless Charging Station for Apple Dvices,15W Fast Magnetic Charger, Foldable Travel Mag-Safe Charger Stand for iPhone 16/15/14/13/12 Pro Max Plus, iWatch S10/Ultra - S2, AirPods 4/Pro/3/2",10,39.99,399.90000000000003,,,,SUNGUY,Black,
Consumer Electronics,Camera,Camera,Camera,B0DSDKKPLD,"Security Cameras Wireless Outdoor, 2K HD Battery Powered Cameras for Home Security Outside EseeCloud, 2.4G WiFi Surveillance Indoor AI Motion Detection Spotlight Night Vision 2-Way Talk Waterproof",7,49.98,349.85999999999996,,,,Noaheye,,outdoor camera
Consumer Electronics,Electronics,Electronics,Electronics,B0DJNH75NZ,"30 AMP to 50 AMP EV Charger Adapter Cord NEMA 10-30P to 14-50R for Level 2 EV Charging at Old Dryer Socket 3 Prong Welder Outlet to 4 Prong EV Plug Conversion,Dryer EV Charger Power Adaptor Connector",10,30,300,,,,FROSTYRIDER,blue,
Consumer Electronics,Electronics,Electronics,Electronics,B0DJNH75NZ,"30 AMP to 50 AMP EV Charger Adapter Cord NEMA 10-30P to 14-50R for Level 2 EV Charging at Old Dryer Socket 3 Prong Welder Outlet to 4 Prong EV Plug Conversion,Dryer EV Charger Power Adaptor Connector",10,30,300,,,,FROSTYRIDER,blue,
Consumer Electronics,Electronics,Electronics,Electronics,B0DJNH75NZ,"30 AMP to 50 AMP EV Charger Adapter Cord NEMA 10-30P to 14-50R for Level 2 EV Charging at Old Dryer Socket 3 Prong Welder Outlet to 4 Prong EV Plug Conversion,Dryer EV Charger Power Adaptor Connector",10,30,300,,,,FROSTYRIDER,blue,
Consumer Electronics,Electronics,Electronics,Electronics,B0DJNH75NZ,"30 AMP to 50 AMP EV Charger Adapter Cord NEMA 10-30P to 14-50R for Level 2 EV Charging at Old Dryer Socket 3 Prong Welder Outlet to 4 Prong EV Plug Conversion,Dryer EV Charger Power Adaptor Connector",10,30,300,,,,FROSTYRIDER,blue,
Consumer Electronics,Wireless,Wireless,Wireless,B0F4NDTZD5,"YIGO MASTER Phone Holder with Silicone Suction Mount, Universal Mobile Stand (White)",10,29.99,299.9,0768825546010,,7.68826E+11,YIGO MASTER,white,Universal Silicone Suction Mount
Consumer Electronics,Wireless,Wireless,Wireless,B0F4NDTZD5,"YIGO MASTER Phone Holder with Silicone Suction Mount, Universal Mobile Stand (White)",10,29.99,299.9,0768825546010,,7.68826E+11,YIGO MASTER,white,Universal Silicone Suction Mount
Consumer Electronics,Wireless,Wireless Cases,Cases,B0F4NC3MLJ,"YIGO MASTER Phone Holder with Silicone Suction Mount, Universal Mobile Stand (Black)",10,29.99,299.9,0768825546003,,7.68826E+11,YIGO MASTER,black,Universal Silicone Suction Mount
Consumer Electronics,Wireless,Wireless Cases,Cases,B0F4NC3MLJ,"YIGO MASTER Phone Holder with Silicone Suction Mount, Universal Mobile Stand (Black)",10,29.99,299.9,0768825546003,,7.68826E+11,YIGO MASTER,black,Universal Silicone Suction Mount
Consumer Electronics,Wireless,Wireless,Wireless,B0B95WRRBQ,"Nillkin Carbon Fiber Case for iPhone 14 Pro Case with Creative Torsion Spring Camera Cover, Durable Aramid Fiber Shockproof Bumper with Heavy Drop Protection for iPhone 14 Pro Cases 6.1'' Black",7,39.99,279.93,6.90205E+12,,,Nillkin,14P-Black,
Consumer Electronics,Wireless,Wireless Accessories,Travel/Wall Chargers,B0D7W6HHPQ,"3 in 1 Wireless Charging Station for Apple Dvices,15W Fast Magnetic Charger, Foldable Travel Mag-Safe Charger Stand for iPhone 16/15/14/13/12 Pro Max Plus, iWatch S10/Ultra - S2, AirPods 4/Pro/3/2",7,39.99,279.93,,,,SUNGUY,Black,
Consumer Electronics,Wireless,Wireless Cases,Waterproof Cases,B0CXHMZDYZ,"Goodon for iPhone 11 Case with Sliding Camera Cover + Screen Protector - Metal Magnetic Kickstand - Military-Grade Shockproof Matte Protective Phone Cover 6.1"" for Men Women Girls - Black",16,16.99,271.84,,,,Goodon,Black- with Back Kickstand,iPhone 11
Consumer Electronics,Electronics,Electronics,Electronics,B0DJNH75NZ,"30 AMP to 50 AMP EV Charger Adapter Cord NEMA 10-30P to 14-50R for Level 2 EV Charging at Old Dryer Socket 3 Prong Welder Outlet to 4 Prong EV Plug Conversion,Dryer EV Charger Power Adaptor Connector",9,30,270,,,,FROSTYRIDER,blue,
Consumer Electronics,Wireless,Wireless,Wireless,B0F4NDTZD5,"YIGO MASTER Phone Holder with Silicone Suction Mount, Universal Mobile Stand (White)",9,29.99,269.90999999999997,0768825546010,,7.68826E+11,YIGO MASTER,white,Universal Silicone Suction Mount
Consumer Electronics,PC,PC,PC,B0D6W3WPT1,"DbillionDa USB C to USB C Cable, Short Connector Charger (6ft, 60W) for iPhone 15, Galaxy S23, MacBook Pro 2020, iPad Pro, iPad Air 4, Pixel, Switch & More – Enhanced Gaming Comfort",10,26.99,269.9,,,,DbillionDa,Black,USB C to USB C Cable 180° 6FT
Consumer Electronics,Camera,Camera,Camera,B0B4B138TF,"Laptop Cleaner, 7 in 1 Keyboard Cleaner Set, Computer MacBook Earphone Cleaning Kit, Tablet and Screen Dust Brush Including Soft Sweep, Swipe, 3 in 1 Airpod Cleaner Pen, Key Puller and Spray Bottle",10,25.99,259.9,0739722616991,,7.39723E+11,MFF,WhitePink,
Consumer Electronics,PC,PC,PC,B0DH3GYCS2,"Wireless Keyboard,KOOTOP Cute Colorful 104 Keys Typewriter Retro Round Keycaps Keyboard for PC Laptop,Desktop,Windows, Home and Office Keyboards (Red)",5,49.99,249.95000000000002,,,,Kootop,Red,
Consumer Electronics,Home Entertainment,Other,Other,B0DZ1RFV58,"for Samsung Smart TV Voice Remote Control:Compatible with BN59-01432A(AAA Battery Version),Replacement for Most 2018 to 2024 Samsung Crystal/UHD/QLED/Frame/Curved/QLED /4K/8K/TVs",10,24.99,249.89999999999998,,,,MOILDRH,Black,
Consumer Electronics,Video Games,Video Games,Video Games,B0DRLKRBJ9,"APEXINNO Flip Battery Head Strap Compatible with Meta Quest 3S, 6600mAh Rechargeable Elite Strap with Battery Pack for Oculus Quest 3S Accessories",3,79.99,239.96999999999997,,,,APEXINNO,White,
Consumer Electronics,Wireless,Wireless Cases,Cases,B0F4NC3MLJ,"YIGO MASTER Phone Holder with Silicone Suction Mount, Universal Mobile Stand (Black)",8,29.99,239.92,0768825546003,,7.68826E+11,YIGO MASTER,black,Universal Silicone Suction Mount
Consumer Electronics,Wireless,Wireless Accessories,Car Kit,B09BC7DQ84,"SUNDAREE Super Fast Car Charger, 60W USB Car Charger Multiport, USB C Cigarette Charger Compatible with iPhone 16 Pro Max Plus/15/14/13/12/iPad Air/Mini 3 Samsung S24/23 Note 20/S10/S9",10,22.99,229.89999999999998,,,,SUNDAREE,CC53-2A2C-60w,
