sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
10020,2228,34,10,24,4.88,,
10021,6001,3,3,0,77.81,,
10024,6003,3,2,1,77.81,,
10025,1928.3,2,0,2,143.44,,
10026,6002,4,2,2,42.8,,
10027,1927.3,4,2,2,325.16,,
10030,9283.3,5,2,3,372.73,,
10341,X-10-M,3,1,2,38.46,,
10342,SS-1002,15,8,7,256.12,,
10345,SS-2000,3,1,2,441.77,,
10348,FN-201,3,0,3,372.82,,
10349,BN-202,0,0,0,430.96,,
10350,SP-5-B,0,0,0,909.95,,
10351,F-50,22,9,13,76.33,,
10352,SS-5000,2,0,2,801.42,,
10353,F-50W,6,2,4,76.33,,
10354,B-51,17,4,13,75.06,,
10355,S-53,5,3,2,75.06,,
10357,V-57W.2,13,3,10,78.24,,
10360,HF-742,10,5,5,226.19,,
10361,HF-743,22,10,12,226.19,,
10366,B-80,5,3,2,139.99,,
10367,B-81,4,2,2,161.89,,
10368,F-82,13,7,6,154.91,,
10369,F-83,46,20,26,154.91,,
10373,RU-90,1,1,0,138.67,,
10374,DNB-200,0,0,0,540.16,,
10377,DNP-200,0,0,0,540.16,,
10378,YB-500,0,0,0,1215.89,,
10391,220SW,7,4,3,33.33,,
10394,MMB-84,12,7,5,12.0,,
10442,SP-80-3,0,0,0,2484.3,,
10446,SRA-1,1,1,0,525.0,,
10472,SP-70-3,1,0,1,2484.3,,
10532,X-11Y,4,1,3,47.02,,
10533,FNW-201,3,2,1,372.82,,
10534,HF-742W,3,1,2,226.19,,
10535,HF-743W,15,6,9,226.19,,
10536,F-82W,10,4,6,154.91,,
10537,F-83W,2,2,0,154.91,,
10539,RA-91,2,1,1,75.06,,
10540,RA-93,9,5,4,75.06,,
10541,BN-C,21,9,12,28.5,,
10545,LL-C,0,0,0,34.29,,
10548,N-203-C,11,4,7,26.4,,
10549,NC-20,1,0,1,34.29,,
10550,GM-5-C,4,2,2,54.96,,
10552,010-10117-02,0,0,0,11.69,,
10563,010-10085-00,14,1,13,12.81,,
10578,010-10083-00,0,0,0,16.31,,
10595,390,0,0,0,499.99,,
10596,393,2,0,2,332.04,,
10597,396-1,8,8,0,131.95,,
10599,399-1M,4,4,0,247.14,,
10601,4018,0,0,0,535.28,,
10602,4018-M,2,2,0,494.31,,
10609,4351,5,5,0,69.59,,
10612,476,0,0,0,1074.99,,
10618,5018,17,6,11,522.01,,
10627,5206-N,51,28,23,60.23,,
10631,5215,5,2,3,57.53,,
10632,5215-C-X,12,9,3,120.48,,
10636,5225-XT,84,50,34,164.15,,
10637,5226-XT,9,4,5,164.15,,
10640,5230,10,3,7,425.0,,
10648,5911,1,1,0,55.82,,
10658,408-R,4,1,3,16.26,,
10660,410-R,2,2,0,69.58,,
10661,4186-BP,24,6,18,10.29,,
10662,4186-U,3,3,0,10.29,,
10663,4187,39,32,7,41.24,,
10668,4352,4,0,4,34.07,,
10673,4365,13,9,4,19.8,,
10679,5228,4,4,0,191.57,,
10680,5228-4,9,4,5,129.0,,
10682,81-S,2,0,2,55.61,,
10840,2100,7,3,4,46.75,,
10841,2101,4,3,1,40.28,,
10842,2300A,12,9,3,108.17,,
10844,2303A,7,1,6,147.13,,
10850,84-2056-01,16,7,9,127.33,,
11123,740011-1,0,0,0,24.14,,
11188,SPC-15RP,15,8,7,22.86,,
11196,SPC-40RP,13,5,8,30.0,,
11197,SPC-5P,20,10,10,13.73,,
11221,MA4054W,0,0,0,48.69,,
11222,MA4055W,2,2,0,52.44,,
11223,MA4055B,0,0,0,47.44,,
11224,MA4056W,15,10,5,56.41,,
11225,MA4056B,0,0,0,56.41,,
11234,MA905W,3,3,0,124.65,,
11235,MB21W,39,24,15,17.59,,
11236,MB21B,7,0,7,17.59,,
11237,MB41W,12,12,0,24.65,,
11238,MB41B,45,24,21,24.65,,
11241,WC-3,22,6,16,19.94,,
11793,525TID-TMD,0,0,0,688.89,,
11794,235DT-PSE,0,0,0,500.0,,
11799,001-410-540,0,0,0,295.45,,
11800,PG500R,0,0,0,805.95,,
11804,520-IHD,1,1,0,181.82,,
11805,AIR-033-270,0,0,0,72.73,,
11806,AIR-033-352,0,0,0,68.18,,
11814,AIR-033-391,0,0,0,227.27,,
11817,525T-BSD,1,1,0,204.44,,
12150,SS-1002W,1,1,0,256.12,,
12151,SS-2000W,10,4,6,441.77,,
12152,SS-5000W,0,0,0,801.42,,
12167,5241-R,9,1,8,84.7,,
12285,MA7060,14,14,0,47.95,,
12542,MA4054B,0,0,0,48.69,,
12743,M81120,3,3,0,790.75,,
12744,M81121,1,0,1,974.17,,
12745,M81105,7,7,0,245.82,,
13034,010-10121-00,0,0,0,17.5,,
13045,X-10-A,1,0,1,38.46,,
13048,5228-1,5,5,0,58.62,,
13049,5228-2,3,3,0,62.65,,
13109,000-159-702,0,0,0,40.91,,
13110,AIR-033-428,0,0,0,45.45,,
13112,525ST-PWC,0,0,0,173.33,,
13113,526ST-MSC,0,0,0,355.56,,
13153,008-526-360,0,0,0,72.73,,
13169,M78713-PZ,2,0,2,149.99,179.99,
13172,P19007,10,0,10,48.73,,
13173,P19001,0,0,0,48.73,,
13174,P19006,6,2,4,48.73,,
13176,5309-R,0,0,0,685.79,,
13253,AIR-033-226,0,0,0,68.18,,
13254,AIR-033-476,0,0,0,68.18,,
13255,AIR-033-073,0,0,0,68.18,,
13256,525STID-MSD,0,0,0,400.0,,
13267,5101,77,51,26,67.76,,
13292,525STID-PWD,1,0,1,173.33,,
13293,520-5PSD,1,1,0,168.89,,
13294,ST-02MSB,0,0,0,190.91,,
13295,ST-02PSB,0,0,0,118.18,,
13298,CA50/200-12M,0,0,0,871.11,,
13300,525T-BSC,0,0,0,204.44,,
13306,FAX30,0,0,0,1064.78,,
13350,520-BLD,0,0,0,186.67,,
13362,000-041-405,0,0,0,76.36,,
13366,525T-PWD,3,1,2,106.67,,
13374,806-1800,2,1,1,1459.74,,
13390,CA28F-8,0,0,0,986.67,,
13478,526ST-MSC7,0,0,0,440.0,,
13479,YB-600,0,0,0,1453.22,,
13481,ST-01PTB,0,0,0,81.82,,
13483,AIR-033-203,1,0,1,77.27,,
13498,E26019-PZ,0,0,0,270.82,324.99,
13500,A12005,10,8,2,472.49,,
13501,A12004,6,5,1,414.46,,
13544,CA50/200-1T,0,0,0,871.11,,
