Parent SKU,UPC,Product Name,Walmart ID,Product Type,Commission Rate,Buy Box Price ($),Sync Status,Pushed At
01FX65,0819927012009,,ING-01FX65,Laptop Docking Stations,1.1167,199.95,synced,51:21.8
02AU46,0662774045122,,ING-02AU46,Laptop Docking Stations,1.1007,227.57,synced,51:33.3
02DP53,0886734890335,,ING-02DP53,Device-Specific Electronics Batteries,1.1501,102,synced,51:22.3
02QN16,0097855188120,,ING-02QN16,Computer Mice,1.1457,99.99,synced,51:35.8
06MK88,0037332262950,,ING-06MK88,Computer Racks & Mounts,1.1322,147.18,synced,52:11.4
07AM37,0840283906114,,ING-07AM37,"Tablet Holders, Carriers & Cases",1.15,49.95,synced,51:33.8
09LR34,0840077500610,,702507,TV & Monitor Mounts,1.1383,145.96,synced,50:49.3
09RY99,0097855183309,,ING-09RY99,Computer Mice,1.15,20.34,synced,52:43.9
09YG48,0008487900080,,ING-09YG48,Cell Phone Cases,1.1498,27.03,synced,07:16.9
10LD27,0810078051282,,ING-10LD27,Power Adapters,1.1499,42.02,synced,07:42.4
10LG65,0889728275361,,ING-10LG65,Network Cables,1.1004,299,synced,07:33.9
10RZ71,0884116447535,,ING-10RZ71,Webcams,1.1499,69.96,synced,07:25.4
114215,0037332011466,,ING-114215,Surge Suppressors,1.1501,86.99,synced,08:10.5
12FZ97,0884116443834,,ING-12FZ97,Desktop Computers,1.06,843.32,synced,08:14.9
12GK25,0884116454007,,ING-12GK25,Laptop Computers,1.06,1329.32,synced,52:52.4
12GP44,0662919116557,,ING-12GP44,Other Computer Accessories,1.15,39.88,synced,52:52.9
1BF770,0889488432776,,499811,Hard Drives,1.104,274.39,synced,07:15.0
1BF876,0889488433292,,500579,Computer Rack Hardware & Accessories,1.1225,161.2,synced,51:34.8
1CZ961,0821455714386,,509311,RAM Memory,1.15,42.92,synced,07:38.9
1FD488,0757120223221,,ING-1FD488,Device-Specific Electronics Chargers,1.1502,22.05,synced,51:34.3
