Item Description,Model #,Qty,Department,Product Type,Subcategory,Category,Retail,Ext. Retail,Brand,Weight,Ext. Weight,UPC
9-Piece Metal Outdoor Dining Set with Beige Cushions,THD9-305344B,1,Outdoors,Patio Furniture,Patio Dining Furniture,OUTDOOR SEASONAL,1131.5,1131.5,PHI VILLA,229.96,229.96,"644191432341,"
Captiva Charcoal Gray 7-Piece Cast Aluminum Rectangular Outdoor Dining Set,6700-3155,1,Outdoors,Patio Furniture,Patio Dining Furniture,OUTDOOR SEASONAL,1041.9,1041.9,HOMESTYLES,233,233,"095385881184,"
Elite 18 ft. x 9 ft. Rectangular x 52 in. Deep Metal Frame Pool Package with Sand Filter Pump System,P4180952G,1,Outdoors,Pools,Above Ground Pools,OUTDOOR SEASONAL,998,998,Summer Waves,261.03,261.03,"192072034783,"
Carlos 6-Piece Gray Wicker Outdoor Conversation Swivel Chair Set Patio Sofa Set with Blue Cushions and Ottomans,GMKWGY13204060N,1,Outdoors,Patio Furniture,Outdoor Lounge Furniture,OUTDOOR SEASONAL,795.78,795.78,Gymojoy,200,200,"762139696607,"
6-Piece Wicker Patio Conversation Sectional Seating Set with Gray Cushions,PF22192X2-193-194X2-296,1,Outdoors,Patio Furniture,Outdoor Lounge Furniture,OUTDOOR SEASONAL,788.57,788.57,Patio Festival,200,200,"840101646062,"
Sarasota Bronze Finish 5-Piece Cast Aluminum Circular  Outdoor Patio  Dining Set,239071,1,Outdoors,Patio Furniture,Patio Dining Furniture,OUTDOOR SEASONAL,708.76,708.76,Noble House,41.45,41.45,"849114908563,"
Sarasota Bronze Finish 5-Piece Cast Aluminum Circular  Outdoor Patio  Dining Set,239071,1,Outdoors,Patio Furniture,Patio Dining Furniture,OUTDOOR SEASONAL,708.76,708.76,Noble House,41.45,41.45,"849114908563,"
40V 1800-Watt Portable Battery Power Station Inverter Generator and 4-Port Charger (Tool Only),RYI1802BT,1,Outdoors,Outdoor Power Equipment,Generators,OUTDOOR SEASONAL,699,699,RYOBI,12,12,"046396036582,"
Black 7-Piece Metal Outdoor Patio Dining Set with Slat Rectangle Table and Padded Blue Textilene Swivel Chairs,THD7-0604-115BL,1,Outdoors,Patio Furniture,Patio Dining Furniture,OUTDOOR SEASONAL,629.99,629.99,PHI VILLA,221.81,221.81,"644191458679,"
24 in. 4.9 cu. ft. Built-In/Freestanding Outdoor Beverage Center in Stainless Steel with Dual Drawer,ORYD24HD,1,Outdoors,Outdoor Cooking,Outdoor Kitchens,OUTDOOR SEASONAL,609.76,609.76,Velivi,23.42,23.42,"959454228389,"
