Parent SKU,UPC,Product Name,Walmart ID,Product Type,Commission Rate,Buy Box Price ($),Sync Status,Pushed At
01FX65,0819927012009,,ING-01FX65,Laptop Docking Stations,1.1167,199.95,synced,2025-12-05 23:51:21.822
02AU46,0662774045122,,ING-02AU46,Laptop Docking Stations,1.1007,227.57,synced,2025-12-05 23:51:33.336
02DP53,0886734890335,,ING-02DP53,Device-Specific Electronics Batteries,1.1501,102.00,synced,2025-12-05 23:51:22.337
02QN16,0097855188120,,ING-02QN16,Computer Mice,1.1457,99.99,synced,2025-12-05 23:51:35.832
06MK88,0037332262950,,ING-06MK88,Computer Racks & Mounts,1.1322,147.18,synced,2025-12-05 23:52:11.378
07AM37,0840283906114,,ING-07AM37,"Tablet Holders, Carriers & Cases",1.1500,49.95,synced,2025-12-05 23:51:33.827
09LR34,0840077500610,,702507,TV & Monitor Mounts,1.1383,145.96,synced,2025-12-05 23:50:49.319
09RY99,0097855183309,,ING-09RY99,Computer Mice,1.1500,20.34,synced,2025-12-05 23:52:43.864
09YG48,0008487900080,,ING-09YG48,Cell Phone Cases,1.1498,27.03,synced,2025-12-06 00:07:16.893
10LD27,0810078051282,,ING-10LD27,Power Adapters,1.1499,42.02,synced,2025-12-06 00:07:42.417
10LG65,0889728275361,,ING-10LG65,Network Cables,1.1004,299.00,synced,2025-12-06 00:07:33.915
10RZ71,0884116447535,,ING-10RZ71,Webcams,1.1499,69.96,synced,2025-12-06 00:07:25.397
114215,0037332011466,,ING-114215,Surge Suppressors,1.1501,86.99,synced,2025-12-06 00:08:10.457
12FZ97,0884116443834,,ING-12FZ97,Desktop Computers,1.0600,843.32,synced,2025-12-06 00:08:14.933
12GK25,0884116454007,,ING-12GK25,Laptop Computers,1.0600,1329.32,synced,2025-12-05 23:52:52.362
12GP44,0662919116557,,ING-12GP44,Other Computer Accessories,1.1500,39.88,synced,2025-12-05 23:52:52.868
1BF770,0889488432776,,499811,Hard Drives,1.1040,274.39,synced,2025-12-06 00:07:15.039
1BF876,0889488433292,,500579,Computer Rack Hardware & Accessories,1.1225,161.20,synced,2025-12-05 23:51:34.823
1CZ961,0821455714386,,509311,RAM Memory,1.1500,42.92,synced,2025-12-06 00:07:38.929
1FD488,0757120223221,,ING-1FD488,Device-Specific Electronics Chargers,1.1502,22.05,synced,2025-12-05 23:51:34.334
1Y1084,0745883700288,,ING-1Y1084,USB Wi-Fi Adapters,1.1500,34.99,synced,2025-12-06 00:07:40.95
1Y7737,0097855120267,,ING-1Y7737,Webcams,1.1377,71.99,synced,2025-12-05 23:51:36.32
282139,0722868354605,,ING-282139,Cable Connectors,1.1502,11.02,synced,2025-12-05 23:51:35.326
2GP896,0819927011408,,ING-2GP896,Surge Suppressors,1.1500,69.95,synced,2025-12-05 23:51:36.818
2MG925,8595159511726,,ING-2MG925,Computer Cables,1.1500,47.93,synced,2025-12-05 23:51:23.829
2NP585,0065030867788,,ING-2NP585,Workstations,1.0600,432.74,synced,2025-12-06 00:07:41.425
2QV447,0722868150573,,ING-2QV447,Network Cables,1.1499,11.05,synced,2025-12-06 00:07:41.931
330356,0722868163207,,37578,Network Cables,1.1499,16.57,synced,2025-12-06 00:07:39.442
