MANUFACTURER_NAME	MFG_CODE	PART_NUMBER	PRICE	MSRP	MAP_PRICE	SERIALIZED	TANGIBLE	WEIGHT	COUNTRY_OF_ORIGIN	PRODUCT_DESCRIPTION	CATEGORY	IN_STOCK	LOC_01	LOC_02	LOC_03	LOC_04	LOC_05	LOC_06	LOC_07	LOC_08	LOC_09	LOC_10	ORG
MAG-TEK	MAG	22350300	25.15	30.00		N	Y	0.15	TW	MAGTEK, USB CABLE (6 FOOT); EXCELLA STX TO PC OR IMAGESAFE TO PC	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
MAG-TEK	MAG	22350302	25.61	31.00		N	Y	1	US	MAGTEK, ETHERNET CABLE (10 FOOT); EXCELLA STX CABLE	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
MAG-TEK	MAG	22517583	25.61	31.00		N	Y	0.22	US	MAGTEK, FWR USB; 9M MINI DIN USB A PLUG; 6' MT GRAY	MAG.HARDWARE.MAGTEK MINI MICR..	0	0	0									121
STAR MICRONICS	SRM	37981090	18.32	23.50	21.00	N	Y	1	CN	STAR MICRONICS, SPARE PART, PAPER GUIDE A UNIT MP5, MP500LL, SP500, SP500VFL	SRM.PARTS.SPARE PARTS..	0	0	0									121
MAG-TEK	MAG	22350001	838.04	1161.00		Y	Y	7.8	US	MAGTEK, EXCELLA STX (COLOR SCANNER); USB; DARK GRAY; MSR; FRONT/BACK PRINTER; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	9	9	0									121
MAG-TEK	MAG	22350005	664.26	1067.00		Y	Y	7.8	US	MAGTEK, EXCELLA STX (BLK & WHT SCANNER); USB; DARK GRAY; MSR; FRONT/BACK PRINTER; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
MAG-TEK	MAG	22350009	575.08	990.00		Y	Y	7.7	US	MAGTEK, EXCELLA STX (BLK & WHT SCANNER); USB; DARK GRAY; MSR; REAR PRINTER; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	8	8	0									121
MAG-TEK	MAG	22350010	691.70	1144.00		Y	Y	7.52	US	MAGTEK, EXCELLA STX (COLOR SCANNER); USB; DARK GRAY; MSR; INCLUDES POWER SUPPLY & CORD (PN 64300107 + PN 71100001) & USB-A CABLE (PN 22350300)	MAG.HARDWARE.MAGTEK EXCELLA..	0	0	0									121
NEWELL BRANDS DISTRIBUTION	DYM	30324	16.72	34.39		N	Y	0.52	US	DYMO, CONSUMABLES, DIRECT THERMAL MULTI PURPOSE PAPER LABELS, 2.125"(54MM) X 2.75"(70MM), WHITE,FOR USE IN LABELWRITER PRINTERS, 320 PER ROLL, 1 ROLL PER CASE, PRICED PER CASE	DYM.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
NEWELL BRANDS DISTRIBUTION	DYM	30334	35.01	65.38		N	Y	0.8	US	DYMO, CONSUMABLES, DIRECT THERMAL PAPER LABEL, 2.25"(56MM) X 1.25"(31MM), WHITE, PERMANENT ADHESIVE, FOR USE IN LABELWRITER PRINTERS, 1,000 PER ROLL, 1 ROLL PER CASE, PRICED PER CASE, MOQ 10	DYM.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	5	5	0									121
HARVARD BATTERIES	HAR	00-864-00-B	16.90	29.00		N	Y	1		HARVARD BATTERY, NCNR, BATTERY PACK,1650 MAH FOR FALCON 32X,33X,34X	ZOT.HARDWARE.ACCESSORIES.BATTERIES.	0	0	0									121
DATALOGIC SCANNING	DLS	00-981-015	299.23	595.00		N	Y	1	VN	DATALOGIC ADC, 4-SLOT DOCK, 31X/32X FALCON REQ. PWR#7-0612 + CBL00-884-32	DLS.HARDWARE.ACCESSORIES.CHARGERS.	0	0	0									121
DATALOGIC SCANNING	DLS	931351093	5569.00	5569.00		Y	Y	1	VI	DATALOGIC AUTOMATION, SCANNER, DS6400-100-010 DYN.F M, LINEAR, M/S, NCNR	DLS.HARDWARE.IA..	0	0	0									121
DATALOGIC SCANNING	DLS	931351097	6156.00	6156.00		Y	Y	1	VI	DATALOGIC AUTOMATION, SCANNER, DS6400-100-012, DYN. F., M LIN, ETHERNET, NCNR	DLS.HARDWARE.IA..	0	0	0									121
DATALOGIC SCANNING	DLS	931351107	7552.00	7552.00		Y	Y	1	VI	DATALOGIC AUTOMATION, SCANNER, DS6400-105-012, FIXED LINE SCNNR, OM, ETHERNET, DYN.F., NCNR	DLS.HARDWARE.IA..	0	0	0									121
DATALOGIC SCANNING	DLS	939101050	904.00	904.00		Y	Y	1		DATALOGIC AUTOMATION, SCANNER, DS1100-2101, HI-RES RS232, RS485, LIN, 90 DEGREE, 5VDC, NCNR	DLS.HARDWARE.IA..	0	0	0									121
WASP BARCODE	WSP	633808181024	39.18	49.00		Y	Y	1.25	US	WASP - WLR8900/WDI4100/WWS500/WWS560 SERIES STAND	WSP.HARDWARE.ACCESSORIES..	71	71	0									121
COGNITIVE LLC	COG	03-02-1524	171.79	276.31		N	Y	23	US	COGNITIVE, CONSUMABLES, GAP SENSORED PAPER LABEL, DIRECT THERMAL, 4.25" X 1", 1.5" CORE, 4.25" OD, PERFORATED, 12 ROLLS PER CASE, PRICED PER CASE	COG.CONSUMABLES.OEM MEDIA.LABELS / TAGS.DESKTOP	0	0	0									121
