sku,mfgn,qty,qtynj,qtyfl,price,map,mrp
10020,2228,45,3,42,5.33,,
10021,6001,0,0,0,86.60,,
10024,6003,4,0,4,86.60,,
10025,1928.3,9,4,5,159.66,,
10026,6002,2,0,2,47.64,,
10027,1927.3,5,3,2,361.89,,
10030,9283.3,1,1,0,414.85,,
10342,SS-1002,5,1,4,263.80,,
10345,SS-2000,5,5,0,423.99,,
10348,FN-201,4,3,1,384.00,,
10349,BN-202,4,1,3,443.89,,
10350,SP-5-B,0,0,0,937.25,,
10351,F-50,0,0,0,78.62,,
10352,SS-5000,0,0,0,825.46,,
10353,F-50W,1,1,0,78.62,,
10354,B-51,1,1,0,77.31,,
10355,S-53,1,1,0,77.31,,
10357,V-57W.2,3,0,3,80.59,,
10360,HF-742,2,1,1,232.98,,
10361,HF-743,0,0,0,232.98,,
10366,B-80,4,2,2,142.99,,
10367,B-81,0,0,0,166.75,,
10368,F-82,1,0,1,159.55,,
10369,F-83,7,0,7,159.55,,
10373,RU-90,3,1,2,132.00,,
10374,DNB-200,0,0,0,556.36,,
10377,DNP-200,0,0,0,556.36,,
10378,YB-500,0,0,0,1252.37,,
10391,220SW,6,4,2,33.33,,
10394,MMB-84,25,12,13,11.33,,
10442,SP-80-3,1,1,0,3026.80,,
10446,SRA-1,1,1,0,630.00,,
10472,SP-70-3,0,0,0,2606.80,,
10532,X-11Y,0,0,0,48.44,,
10533,FNW-201,1,0,1,384.00,,
10534,HF-742W,3,2,1,232.98,,
10535,HF-743W,5,2,3,232.98,,
10536,F-82W,4,3,1,159.55,,
10537,F-83W,3,1,2,146.00,,
10539,RA-91,2,0,2,77.31,,
10540,RA-93,11,5,6,77.31,,
10541,BN-C,7,3,4,29.35,,
10545,LL-C,0,0,0,35.31,,
10548,N-203-C,5,5,0,27.19,,
10549,NC-20,4,3,1,31.00,,
10550,GM-5-C,5,2,3,56.61,,
10552,010-10117-02,0,0,0,11.71,,
10563,010-10085-00,7,2,5,22.49,,
10578,010-10083-00,15,6,9,22.49,,
10595,390,0,0,0,534.99,,
10596,393,2,0,2,355.29,,
10597,396-1,6,1,5,141.19,,
10599,399-1M,8,5,3,264.44,,
10601,4018,0,0,0,572.75,,
10602,4018-M,0,0,0,528.91,,
10609,4351,6,5,1,74.46,,
10612,476,0,0,0,1150.24,,
10618,5018,7,6,1,558.56,,
10627,5206-N,232,117,115,69.04,,
10631,5215,6,5,1,61.55,,
10632,5215-C-X,10,6,4,128.92,,
10636,5225-XT,80,42,38,175.63,,
10637,5226-XT,14,2,12,175.63,,
10640,5230,0,0,0,454.75,,
10648,5911,3,3,0,59.73,,
10658,408-R,9,6,3,17.40,,
10660,410-R,6,0,6,74.45,,
10661,4186-BP,8,8,0,11.01,,
10662,4186-U,12,2,10,11.01,,
10663,4187,30,9,21,44.12,,
10668,4352,14,0,14,36.46,,
10673,4365,31,15,16,21.19,,
10679,5228,7,5,2,204.97,,
10680,5228-4,6,1,5,138.04,,
10682,81-S,0,0,0,59.51,,
10840,2100,6,2,4,56.83,,
10841,2101,4,3,1,48.97,,
10842,2300A,21,11,10,131.49,,
10844,2303A,26,12,14,178.83,,
10850,84-2056-01,15,10,5,138.79,,
11049,483,0,0,0,124.99,,
11123,740011-1,0,0,0,24.14,,
11188,SPC-15RP,12,5,7,22.86,,
11196,SPC-40RP,16,8,8,30.00,,
11197,SPC-5P,17,5,12,14.67,,
11221,MA4054W,71,45,26,19.99,,
11222,MA4055W,250,130,120,24.99,,
11223,MA4055B,185,108,77,14.99,,
11224,MA4056W,192,93,99,24.99,,
11225,MA4056B,156,79,77,15.99,,
11234,MA905W,250,166,84,29.99,,
11235,MB21W,127,66,61,12.99,,
11236,MB21B,318,185,133,10.99,,
11237,MB41W,159,83,76,17.99,,
11241,WC-3,87,49,38,4.99,,
11793,525TID-TMD,0,0,0,688.89,,
11794,235DT-PSE,0,0,0,500.00,,
11799,001-410-540,0,0,0,311.82,,
11800,PG500R,0,0,0,805.95,,
11804,520-IHD,0,0,0,181.82,199.00,
11805,AIR-033-270,0,0,0,72.73,,
11806,AIR-033-352,0,0,0,68.18,,
11814,AIR-033-391,0,0,0,227.27,,
11817,525T-BSD,0,0,0,204.44,,
12150,SS-1002W,2,2,0,263.80,,
12151,SS-2000W,3,2,1,394.00,,
12152,SS-5000W,0,0,0,825.46,,
12167,5241-R,2,2,0,90.64,,
12286,MA1000RB,259,126,133,2.99,,
12542,MA4054B,223,109,114,15.99,,
12743,M81120,7,3,4,896.73,,
12744,M81121,0,0,0,1059.77,,
12745,M81105,5,3,2,291.66,,
13034,010-10121-00,0,0,0,22.49,,
13048,5228-1,7,7,0,62.73,,
13049,5228-2,6,1,5,67.04,,
13112,525ST-PWC,0,0,0,173.33,,
13113,526ST-MSC,0,0,0,355.56,,
13169,M78713-PZ,3,3,0,149.99,,179.99
13172,P19007,19,19,0,63.04,,
13173,P19001,4,3,1,63.04,,
13174,P19006,0,0,0,63.04,,
13176,5309-R,0,0,0,733.79,,
13253,AIR-033-226,0,0,0,68.18,,
13254,AIR-033-476,0,0,0,68.18,,
13255,AIR-033-073,0,0,0,159.09,,
13256,525STID-MSD,0,0,0,400.00,479.99,
13267,5101,52,32,20,72.51,,
13292,525STID-PWD,2,2,0,173.33,,
13293,520-5PSD,1,1,0,174.22,,
13294,ST-02MSB,0,0,0,190.91,,
13295,ST-02PSB,0,0,0,118.18,,
13298,CA50/200-12M,0,0,0,921.82,,
13300,525T-BSC,0,0,0,204.44,,
13306,FAX30,0,0,0,1133.55,,
13350,520-BLD,0,0,0,186.67,,
13362,000-041-405,0,0,0,80.91,,
13366,525T-PWD,1,1,0,106.67,,
13374,806-1800,3,1,2,1459.74,,
13474,010-10192-01,0,0,0,155.00,,
13478,526ST-MSC7,0,0,0,440.00,,
13479,YB-600,0,0,0,1496.82,,
13481,ST-01PTB,0,0,0,81.82,,
13483,AIR-033-203,0,0,0,77.27,,
13498,E26019-PZ,0,0,0,270.82,,324.99
13500,A12005,14,7,7,611.40,,
13501,A12004,4,2,2,489.12,,
13544,CA50/200-1T,0,0,0,921.82,,
13560,000-158-002,0,0,0,34.55,,
13561,CA50B-9B,0,0,0,422.73,,
13593,010-10272-00,10,9,1,74.99,,
13598,AIR-033-204,0,0,0,63.64,,
13628,9004E,10,5,5,46.42,,
13629,2001,18,3,15,10.57,,
13630,GPA017,2,2,0,117.27,,
13643,000-159-695,0,0,0,112.73,,
13646,9282.3,3,0,3,172.89,,
13666,520-PLD,2,2,0,88.89,,
13667,000-135-397,1,0,1,50.00,,
13724,4187HD,0,0,0,50.92,,
13726,5120,22,12,10,91.25,,
13748,808-1800,2,2,0,59.28,,
13759,4357-S,6,3,3,72.08,,
13770,AIR-033-333,0,0,0,50.00,,
13775,000-154-036,0,0,0,94.55,,
13776,FAX5,0,0,0,592.73,,
13792,SP-5-C,0,0,0,937.25,,
13827,525-5PWD,0,0,0,112.73,,
13828,000-154-053,0,0,0,131.82,,
13834,CA50B-6B,0,0,0,262.73,,
13846,CA200B-5S,0,0,0,281.82,,
13852,AIR-033-351,0,0,0,31.82,,
13856,P102938,3,2,1,52.74,,
13876,4125,11,3,8,12.59,,
13877,7234,11,5,6,38.61,,
13878,7208,11,5,6,16.27,,
13879,9353,1,1,0,31.46,,
13880,8013,3,1,2,32.87,,
13881,1002,16,0,16,16.77,,
13882,8031,15,4,11,7.05,,
13902,E66008,2,0,2,169.60,,199.00
13934,8067,8,6,2,29.53,,
13935,8030,9,4,5,7.05,,
13936,8039,16,7,9,29.53,,
13937,8065,7,4,3,16.86,,
13938,2304,64,50,14,9.65,,
13940,2305,48,20,28,10.71,,
13941,2701,0,0,0,15.43,,
13942,2709,0,0,0,11.24,,
13943,2710,0,0,0,11.48,,
13944,2301,67,30,37,12.87,,
13945,2303,49,25,24,16.75,,
13947,2302,59,26,33,20.01,,
13948,2105,32,32,0,42.05,,
13950,2003,118,26,92,9.97,,
13951,2002,83,30,53,9.97,,
13952,2103,14,1,13,18.92,,
13953,2104,114,25,89,89.78,,
13954,2708,23,15,8,19.41,,
13955,2506,50,0,50,7.32,,
13956,2508,113,41,72,8.54,,
13957,2510,42,24,18,9.70,,
13958,2512,123,47,76,13.37,,
13959,9217,110,13,97,2.99,,
13960,1001,37,19,18,16.19,,
13961,1003,40,29,11,18.54,,
13967,5018,3,0,3,32.27,,
13969,5005,121,26,95,23.62,,
13971,8068,5,3,2,482.22,,
13972,8082,3,2,1,379.47,,
13974,8080,0,0,0,178.20,,
13975,8079,15,11,4,108.66,,
13976,8051,0,0,0,205.96,,
13979,8061,4,3,1,173.68,,
13980,8081,0,0,0,306.27,,
13981,8015,0,0,0,87.57,,
13984,B-51W,4,2,2,71.00,,
13993,FN-203,5,4,1,402.06,,
13994,FNW-203,4,2,2,399.71,,
14021,520-5MSD,0,0,0,303.11,,
14037,5400-XT,15,9,6,156.80,,
14038,5401-XT,6,3,3,156.80,,
14042,5420-XT,7,3,4,124.24,,
14043,5421-XT,4,1,3,124.24,,
14065,010-10314-00,0,0,0,7.42,,
14066,010-10267-00,0,0,0,7.90,,
14067,D284,4,2,2,46.86,,
14069,D286,0,0,0,59.65,,
14070,D287,0,0,0,68.17,,
14071,D288,0,0,0,89.48,,
14073,D244,6,2,4,42.60,,
14085,M78717,0,0,0,183.32,,
14100,528-VW,60,10,50,195.42,,
14106,531-AW,3,1,2,216.41,,
14125,2702,4,2,2,16.47,,
14165,7202,43,10,33,17.47,,
14166,7206,26,26,0,16.27,,
14177,5133,9,1,8,25.85,,
14235,SK135,0,0,0,181.81,,
14258,82-0123-01,3,2,1,137.41,,
14259,2404,44,40,4,4.72,,
14260,2406,54,27,27,5.39,,
14489,ARP11,0,0,0,610.91,,
14494,000-154-052,0,0,0,423.64,,
14495,235DST-PWE,0,0,0,481.82,,
14497,010-10231-01,4,2,2,17.59,,
14521,000-144-463,0,0,0,66.36,,
14525,4700,5,0,5,22.56,,
14526,4700-1,1,1,0,34.54,,
14527,4700-2,8,5,3,47.19,,
14533,4190,1,1,0,40.73,,
14538,4710,0,0,0,15.58,,
14541,4720,5,5,0,19.19,,
14561,2011,27,11,16,6.65,,
14562,2101,12,5,7,18.92,,
14563,2102,10,4,6,18.92,,
14566,4100,13,1,12,2.86,,
14567,4126,6,4,2,13.57,,
14569,5015,5,3,2,37.99,,
14572,8086,2,1,1,1344.14,,
14573,8084,3,3,0,763.27,,
14574,8076,3,3,0,481.43,,
14575,8074,2,0,2,398.56,,
14576,8097,4,2,2,270.44,,
14577,8096,4,2,2,225.73,,
14578,8261,3,1,2,193.49,,
14579,8262,7,2,5,115.37,,
14580,9001E,43,28,15,35.23,,
14581,8184,0,0,0,763.38,,
14582,2402,25,11,14,3.85,,
14583,2408,40,27,13,6.24,,
14584,2410,24,20,4,8.44,,
14585,2502,71,31,40,4.23,,
14586,2504,142,40,102,5.28,,
14587,2602,18,7,11,7.25,,
14588,2604,10,7,3,10.33,,
14589,2608,17,5,12,19.53,,
14590,2610,19,2,17,22.52,,
14592,9216,17,15,2,3.24,,
14594,9218,64,19,45,2.99,,
14597,7218,24,15,9,16.27,,
14599,7226,14,6,8,16.27,,
14600,7230,29,19,10,16.27,,
14601,7233,21,16,5,37.54,,
14602,7235,14,12,2,37.54,,
14603,7260,7,7,0,37.54,,
14604,7238,11,7,4,37.54,,
14605,7240,4,4,0,37.54,,
14606,7242,16,5,11,37.54,,
14607,010-10300-00,0,0,0,29.99,,
14672,V-57.2,0,0,0,80.59,,
14673,K-TD.2,1,1,0,30.00,,
14768,8033,21,0,21,2.44,,
14769,8022,5,3,2,65.68,,
14771,8232,7,2,5,18.15,,
14847,8263,8,5,3,43.61,,
14883,AG126,0,0,0,359.99,,
14884,TP125,0,0,0,145.44,,
14907,5235-XT,8,2,6,148.31,,
14908,4006,8,1,7,22.31,,
14909,414,0,0,0,8.64,,
14911,4188-SL,7,2,5,61.11,,
14934,SU-1,0,0,0,33.33,,
14941,ANCHORMAX,1,0,1,904.35,,
14960,CMP460,120,37,83,46.00,,
14968,22040A,6,2,4,525.95,,
15022,NET-DWN-CBL,0,0,0,54.55,,
15023,010-10305-01,0,0,0,18.75,,
15028,D031,0,0,0,89.48,,
15111,235DHT-MSE,0,0,0,627.27,,
15112,235DHT-LMSE,0,0,0,736.36,,
15125,000-159-686,2,2,0,53.64,,
15126,000-030-097,0,0,0,81.82,,
15198,FPHRC1002000C00,23,4,19,127.68,,
15204,FP900UB00000A00,10,2,8,25.04,,
15231,E66023,0,0,0,83.32,,
15232,M81131,0,0,0,2291.66,,
15266,E66054,0,0,0,169.60,,199.00
15273,4079,14,3,11,12.33,,
15274,4184,94,42,52,7.67,,
15307,PL-258-G,10,9,1,10.63,,
